"","Dia","Mes","Anio","pred"
"302","09","1","13",955.112608947772
"303","10","1","13",1065.94753176479
"304","11","1","13",1063.54419345217
"305","12","1","13",145.565549620789
"306","14","1","13",662.804070774507
"307","15","1","13",836.926666616471
"308","16","1","13",950.143205879365
"309","17","1","13",1002.18614635801
"310","18","1","13",1025.77713450752
"311","19","1","13",137.740275404933
"312","21","1","13",627.89383483558
"313","22","1","13",831.018585588386
"314","23","1","13",1018.42792606142
"315","24","1","13",986.696497467196
"316","25","1","13",1097.99411944192
"317","26","1","13",204.265831736797
"318","28","1","13",884.102277495366
"319","29","1","13",1209.55555095628
"320","30","1","13",1495.56320566774
"321","31","1","13",1259.10648058811
"322","01","2","13",958.57764705363
"323","02","2","13",50.2123714422199
"324","04","2","13",678.1714025862
"325","05","2","13",884.316459529721
"326","06","2","13",1066.3099446829
"327","07","2","13",1127.68383754096
"328","08","2","13",1188.26862874213
"329","09","2","13",266.290243562795
"330","11","2","13",789.249195520555
"331","12","2","13",976.01762224176
"332","13","2","13",1142.90939285568
"333","14","2","13",1182.70281554641
"334","15","2","13",1193.48046316848
"335","16","2","13",261.320840494388
"336","18","2","13",751.4821365759
"337","19","2","13",968.192348025903
"338","20","2","13",1110.05521937262
"339","21","2","13",1147.79257960748
"340","22","2","13",1187.57238214039
"341","23","2","13",329.605560676443
"342","25","2","13",823.699121510298
"343","26","2","13",1034.71790435777
"344","27","2","13",1280.47554785604
"345","28","2","13",1404.00102226727
"346","01","3","13",997.446519329887
"347","02","3","13",89.0812437184774
"348","04","3","13",717.040274862457
"349","05","3","13",923.185331805978
"350","06","3","13",1105.17881695916
"351","07","3","13",1166.55270981722
"352","08","3","13",1227.13750101839
"353","09","3","13",305.159115839053
"354","11","3","13",828.118067796812
"355","12","3","13",1014.88649451802
"356","13","3","13",1181.77826513193
"357","14","3","13",1221.57168782267
"358","15","3","13",1232.34933544473
"359","16","3","13",300.189712770645
"360","18","3","13",790.351008852158
"361","19","3","13",1007.06122030216
"362","20","3","13",1148.92409164887
"363","21","3","13",1186.66145188374
"364","22","3","13",1226.44125441665
"365","23","3","13",368.474432952701
"366","26","3","13",1073.58677663403
"367","27","3","13",1319.34442013229
"368","30","3","13",845.60971255902
"369","01","4","13",578.800155863546
"370","02","4","13",775.181950804725
"371","03","4","13",998.958326991732
"372","04","4","13",1092.58765409964
"373","05","4","13",1135.38776282326
"374","06","4","13",272.005086039459
"375","08","4","13",808.491137552046
"376","09","4","13",991.2598229253
"377","10","4","13",1203.74426764429
"378","11","4","13",1203.66544703399
"379","12","4","13",1227.0889255353
"380","13","4","13",348.604534212235
"381","15","4","13",813.702971978393
"382","16","4","13",986.290419856893
"383","17","4","13",1139.9828822375
"384","18","4","13",1165.89838808934
"385","19","4","13",1219.26365131944
"386","20","4","13",315.750360729175
"387","22","4","13",807.794890950309
"388","23","4","13",1054.57514003895
"389","24","4","13",1124.49323334669
"390","25","4","13",1238.11537302374
"391","26","4","13",1285.78920765131
"392","27","4","13",486.170689212594
"393","29","4","13",1186.33185631821
"394","30","4","13",1531.71041964527
"395","02","5","13",961.02916224666
"396","03","5","13",1080.83149882938
"397","04","5","13",230.734185902266
"398","06","5","13",768.405625330462
"399","07","5","13",990.799948706099
"400","08","5","13",1155.35877951155
"401","09","5","13",1177.10703436724
"402","10","5","13",1285.61743948194
"403","11","5","13",341.811978836622
"404","14","5","13",1045.81892671154
