"","Dia","Mes","Anio","pred"
"522",5,6,13,1064.49605647237
"523",6,6,13,1144.84001972359
"524",7,6,13,1203.88939487933
"525",8,6,13,323.0720637478
"526",9,6,13,0
"527",10,6,13,0
"528",11,6,13,1028.79970107881
"529",12,6,13,1156.19721918441
"530",13,6,13,1221.43946789636
"531",14,6,13,1258.90837288477
"532",15,6,13,328.283898174147
"533",16,6,13,0
"534",17,6,13,804.096705764749
"535",18,6,13,991.032642134159
"536",19,6,13,1148.37194496856
"537",20,6,13,1188.5852944133
"538",21,6,13,1223.99813694585
"539",22,6,13,322.375817146063
"540",23,6,13,0
"541",24,6,13,788.60705687394
"542",25,6,13,1063.24962706856
"543",26,6,13,1214.89750130042
"544",27,6,13,1359.00562289672
"545",28,6,13,1480.20657960563
"546",29,6,13,700.91278251396
"547",30,6,13,0
"548",1,7,13,0
"549",2,7,13,789.035495044986
"550",3,7,13,1012.81187123199
"551",4,7,13,1106.4411983399
"552",5,7,13,1149.24130706352
"553",6,7,13,285.85863027972
"554",7,7,13,0
"555",8,7,13,822.344681792307
"556",9,7,13,1005.11336716556
"557",10,7,13,1217.59781188455
"558",11,7,13,1217.51899127425
"559",12,7,13,1240.94246977556
"560",13,7,13,362.458078452496
"561",14,7,13,0
"562",15,7,13,827.556516218654
"563",16,7,13,1000.14396409715
"564",17,7,13,1153.83642647776
"565",18,7,13,1179.7519323296
"566",19,7,13,1233.11719555971
"567",20,7,13,0
"568",21,7,13,0
"569",22,7,13,821.648435190569
"570",23,7,13,1068.42868427921
"571",24,7,13,1138.34677758695
"572",25,7,13,1251.968917264
"573",26,7,13,1299.64275189157
"574",27,7,13,500.024233452855
"575",28,7,13,0
"576",29,7,13,1200.18540055847
"577",30,7,13,1545.56396388553
"578",31,7,13,1410.75676070787
"579",1,8,13,981.434609120998
"580",2,8,13,1014.47145584228
"581",3,8,13,192.871670092305
"582",4,8,13,0
"583",5,8,13,743.828473377194
"584",6,8,13,985.192867145979
"585",7,8,13,0
"586",8,8,13,1211.1255908095
"587",9,8,13,1230.54932796286
"588",10,8,13,397.657610744865
"589",11,8,13,0
"590",12,8,13,835.529636089232
"591",13,8,13,1061.79231531875
"592",14,8,13,1203.23525991146
"593",15,8,13,1216.33742523585
"594",16,8,13,1225.57992489445
"595",17,8,13,333.896225338075
"596",18,8,13,0
"597",19,8,13,0
"598",20,8,13,1028.93814183569
"599",21,8,13,1168.32502397253
"600",22,8,13,1210.42934420776
"601",23,8,13,1293.8646450765
"602",24,8,13,318.406576447266
"603",25,8,13,0
"604",26,8,13,894.22991820524
"605",27,8,13,1199.35847031911
"606",28,8,13,1424.53346663232
"607",29,8,13,1588.96630957566
"608",30,8,13,1770.99992468282
"609",31,8,13,590.816559568181
"610",1,9,13,0
"611",2,9,13,594.980855333638
"612",3,9,13,878.12814013625
"613",4,9,13,1073.40698914612
"614",5,9,13,1118.53161557207
"615",6,9,13,1196.55106112096
"616",7,9,13,314.198313944009
"617",8,9,13,0
"618",9,9,13,811.058727454213
"619",10,9,13,1082.91408078881
"620",11,9,13,1184.48478208048
"621",12,9,13,1210.23277828411
"622",13,9,13,1273.15050929374
"623",14,9,13,369.217291949454
"624",15,9,13,0
"625",16,9,13,806.089324385806
"626",17,9,13,1019.15269538202
"627",18,9,13,1146.71772313582
"628",19,9,13,1202.40750406825
"629",20,9,13,1240.29633581068
"630",21,9,13,334.307056010527
"631",22,9,13,0
"632",23,9,13,874.374044567861
"633",24,9,13,1003.66304649121
"634",25,9,13,1218.93470807022
"635",26,9,13,1268.93306040012
"636",27,9,13,1410.7166642941
"637",28,9,13,590.515498670314
"638",29,9,13,0
"639",30,9,13,1351.50932417418
"640",1,10,13,789.044095531033
"641",2,10,13,926.054981856607
"642",3,10,13,1048.18183614165
"643",4,10,13,1139.48664554723
"644",5,10,13,240.884631938162
"645",6,10,13,0
"646",7,10,13,794.805337798472
"647",8,10,13,1018.73507721953
"648",9,10,13,1142.13285397718
"649",10,10,13,1252.96777679421
"650",11,10,13,1250.56443848158
"651",12,10,13,332.5857946502
"652",13,10,13,0
"653",14,10,13,0
"654",15,10,13,1023.94691164588
"655",16,10,13,1137.16345090878
"656",17,10,13,1189.20639138742
"657",18,10,13,1212.79737953693
"658",19,10,13,324.760520434344
"659",20,10,13,0
"660",21,10,13,814.91407986499
"661",22,10,13,1018.0388306178
"662",23,10,13,1205.44817109083
"663",24,10,13,1173.71674249661
"664",25,10,13,1285.01436447133
"665",26,10,13,391.286076766208
"666",27,10,13,0
"667",28,10,13,1071.12252252478
"668",29,10,13,1396.57579598569
"669",30,10,13,1682.58345069715
"670",31,10,13,1446.12672561752
"671",1,11,13,1031.85039201249
"672",2,11,13,123.48511640108
"673",3,11,13,0
"674",4,11,13,0
"675",5,11,13,957.589204488582
"676",6,11,13,1139.58268964176
"677",7,11,13,1200.95658249982
"678",8,11,13,1261.54137370099
"679",9,11,13,339.562988521656
"680",10,11,13,0
"681",11,11,13,0
"682",12,11,13,1049.29036720062
"683",13,11,13,1216.18213781454
"684",14,11,13,1255.97556050527
"685",15,11,13,1266.75320812734
"686",16,11,13,334.593585453248
"687",17,11,13,0
"688",18,11,13,824.75488153476
"689",19,11,13,1041.46509298476
"690",20,11,13,1183.32796433148
"691",21,11,13,1221.06532456634
"692",22,11,13,1260.84512709925
"693",23,11,13,402.878305635304
"694",24,11,13,0
"695",25,11,13,896.971866469158
"696",26,11,13,1107.99064931663
"697",27,11,13,1353.7482928149
"698",28,11,13,1477.27376722613
"699",29,11,13,1639.38209246715
"700",30,11,13,880.013585241623
"701",1,12,13,0
"702",2,12,13,961.743842897215
"703",3,12,13,1244.89112769983
"704",4,12,13,1440.1699767097
"705",5,12,13,1485.29460313565
"706",6,12,13,1563.31404868454
"707",7,12,13,680.961301507586
"708",8,12,13,0
"709",9,12,13,1177.82171501779
"710",10,12,13,1449.67706835239
"711",11,12,13,1551.24776964406
"712",12,12,13,1576.99576584769
"713",13,12,13,1639.91349685731
"714",14,12,13,735.980279513032
"715",15,12,13,0
"716",16,12,13,1172.85231194938
"717",17,12,13,1385.9156829456
"718",18,12,13,1513.4807106994
"719",19,12,13,1569.17049163183
"720",20,12,13,1607.05932337425
"721",21,12,13,701.070043574105
"722",22,12,13,0
"723",23,12,13,1241.13703213144
"724",24,12,13,1370.42603405479
"725",25,12,13,0
"726",26,12,13,1635.6960479637
"727",27,12,13,1777.47965185767
"728",28,12,13,957.278486233891
"729",29,12,13,0
"730",30,12,13,1718.27231173776
"731",31,12,13,1642.8360171757
"732",1,1,14,0
"733",2,1,14,749.116841460429
"734",3,1,14,868.919178043146
"735",4,1,14,18.8218651160356
"736",5,1,14,0
"737",6,1,14,0
"738",7,1,14,778.887627919868
"739",8,1,14,943.446458725324
"740",9,1,14,965.194713581004
"741",10,1,14,1073.70511869571
"742",11,1,14,129.899658050391
"743",12,1,14,0
"744",13,1,14,633.092752717006
"745",14,1,14,833.906605925313
"746",15,1,14,948.658293151671
"747",16,1,14,960.225310512597
"748",17,1,14,1009.94373328892
"749",18,1,14,92.1325991057362
"750",19,1,14,0
"751",20,1,14,600.238579233946
"752",21,1,14,798.996369986386
"753",22,1,14,942.750212123587
"754",23,1,14,1028.51003069465
"755",24,1,14,994.454084398106
"756",25,1,14,164.349584040134
"757",26,1,14,0
"758",27,1,14,770.658907717365
"759",28,1,14,1055.20481264617
"760",29,1,14,1321.28717749148
"761",30,1,14,1505.64531030097
"762",31,1,14,1266.86406751902
"763",1,2,14,24.9331116518468
"764",2,2,14,0
"765",3,2,14,594.624180111527
"766",4,2,14,849.273937737006
"767",5,2,14,996.048086064922
"768",6,2,14,1076.39204931613
"769",7,2,14,1135.44142447187
"770",8,2,14,254.624093340347
"771",9,2,14,0
"772",10,2,14,799.410120764086
"773",11,2,14,960.351730671361
"774",12,2,14,1087.74924877696
"775",13,2,14,1152.99149748891
"776",14,2,14,1190.46040247732
"777",15,2,14,259.835927766695
"778",16,2,14,0
"779",17,2,14,735.648735357297
"780",18,2,14,922.584671726706
"781",19,2,14,1079.9239745611
"782",20,2,14,1120.13732400585
"783",21,2,14,1155.55016653839
"784",22,2,14,253.92784673861
"785",23,2,14,0
"786",24,2,14,720.159086466488
"787",25,2,14,994.801656661104
"788",26,2,14,1146.44953089297
"789",27,2,14,1290.55765248927
"790",28,2,14,1411.75860919818
"791",1,3,14,63.8019839281044
"792",2,3,14,0
"793",3,3,14,633.493052387784
"794",4,3,14,888.142810013263
"795",5,3,14,1034.91695834118
"796",6,3,14,1115.26092159239
"797",7,3,14,1174.31029674813
"798",8,3,14,293.492965616605
"799",9,3,14,0
"800",10,3,14,838.278993040344
"801",11,3,14,999.220602947619
"802",12,3,14,1126.61812105322
"803",13,3,14,1191.86036976517
"804",14,3,14,1229.32927475358
"805",15,3,14,298.704800042952
"806",16,3,14,0
"807",17,3,14,774.517607633554
"808",18,3,14,961.453544002964
"809",19,3,14,1118.79284683736
"810",20,3,14,1159.00619628211
"811",21,3,14,1194.41903881465
"812",22,3,14,292.796719014867
"813",23,3,14,0
"814",24,3,14,0
"815",25,3,14,1033.67052893736
"816",26,3,14,1185.31840316923
"817",27,3,14,1329.42652476553
"818",28,3,14,1450.62748147444
"819",29,3,14,671.333684382765
"820",30,3,14,0
"821",31,3,14,1031.43794186366
"822",1,4,14,749.902691014352
"823",2,4,14,886.913577339926
"824",3,4,14,1009.04043162496
"825",4,4,14,1100.34524103055
"826",5,4,14,201.74322742148
"827",6,4,14,0
"828",7,4,14,755.663933281791
"829",8,4,14,979.593672702852
"830",9,4,14,1102.9914494605
"831",10,4,14,1213.82637227752
"832",11,4,14,1211.4230339649
"833",12,4,14,293.444390133518
"834",13,4,14,0
"835",14,4,14,810.682911287236
"836",15,4,14,984.8055071292
"837",16,4,14,1098.02204639209
"838",17,4,14,0
"839",18,4,14,0
"840",19,4,14,285.619115917662
"841",20,4,14,0
"842",21,4,14,775.772675348309
"843",22,4,14,978.897426101115
"844",23,4,14,1166.30676657415
"845",24,4,14,1134.57533797993
"846",25,4,14,1245.87295995465
"847",26,4,14,352.144672249526
"848",27,4,14,0
"849",28,4,14,1031.9811180081
"850",29,4,14,1357.43439146901
"851",30,4,14,1643.44204618047
"852",1,5,14,0
"853",2,5,14,968.78674917757
"854",3,5,14,147.186963427594
"855",4,5,14,0
"856",5,5,14,698.143766712482
"857",6,5,14,939.508160481268
"858",7,5,14,1102.5315752413
"859",8,5,14,1165.44088414479
"860",9,5,14,1184.86462129815
"861",10,5,14,351.972904080153
"862",11,5,14,0
"863",12,5,14,789.844929424521
"864",13,5,14,1016.10760865404
"865",14,5,14,1157.55055324674
"866",15,5,14,1170.65271857113
"867",16,5,14,1179.89521822974
"868",17,5,14,288.211518673364
"869",18,5,14,0
"870",19,5,14,782.019655208664
"871",20,5,14,983.253435170984
"872",21,5,14,1122.64031730782
"873",22,5,14,1164.74463754305
"874",23,5,14,1248.17993841179
"875",24,5,14,272.721869782555
"876",25,5,14,0
"877",26,5,14,848.545211540529
"878",27,5,14,1153.6737636544
"879",28,5,14,1378.8487599676
"880",29,5,14,1543.28160291095
"881",30,5,14,1725.31521801811
"882",31,5,14,545.13185290347
"883",1,6,14,0
"884",2,6,14,0
"885",3,6,14,834.174685676645
"886",4,6,14,1029.45353468652
"887",5,6,14,1074.57816111247
"888",6,6,14,1152.59760666136
"889",7,6,14,270.244859484404
"890",8,6,14,0
"891",9,6,14,767.105272994608
"892",10,6,14,1038.9606263292
"893",11,6,14,1140.53132762087
"894",12,6,14,1166.2793238245
"895",13,6,14,1229.19705483413
"896",14,6,14,325.263837489849
"897",15,6,14,0
"898",16,6,14,762.135869926201
"899",17,6,14,975.199240922415
"900",18,6,14,1102.76426867622
"901",19,6,14,1158.45404960865
"902",20,6,14,1196.34288135107
"903",21,6,14,290.353601550922
"904",22,6,14,0
"905",23,6,14,0
"906",24,6,14,959.709592031606
"907",25,6,14,1174.98125361062
"908",26,6,14,1224.97960594051
"909",27,6,14,1366.76320983449
"910",28,6,14,546.562044210709
"911",29,6,14,0
"912",30,6,14,0
"913",1,7,14,763.756235261472
"914",2,7,14,900.767121587046
"915",3,7,14,1022.89397587208
"916",4,7,14,1114.19878527767
"917",5,7,14,215.596771668601
"918",6,7,14,0
"919",7,7,14,769.517477528911
"920",8,7,14,993.447216949973
"921",9,7,14,1116.84499370762
"922",10,7,14,1227.67991652464
"923",11,7,14,1225.27657821202
"924",12,7,14,307.297934380639
"925",13,7,14,0
"926",14,7,14,824.536455534356
"927",15,7,14,998.65905137632
"928",16,7,14,1111.87559063921
"929",17,7,14,1163.91853111785
